ID,Name,Shopping List Name,Nährwerte pro 100g,Kilokalorien,Kilojoule,Protein,Fett,Kohlenhydrate,davon Zucker,Ballaststoffe,Fettsäuren pro 100g,Gesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Mehrfach ungesättigte Fettsäuren,Cholesterin,Vitamine pro 100g,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Vitamin B1,Vitamin B2,Vitamin B6,Vitamin B12,Biotin,Folsäure,Niacin,Panthotensäure,Mineralstoffe pro 100g,Calcium [Ca],Chlor [Cl],Kalium [K],Magnesium [Mg],Natrium [Na],Phosphor [P],Schwefel [S],Spurenelemente pro 100g,Kupfer [Cu],Eisen [Fe],Fluor [F],Mangan [Mn],Jod [J],Zink [Zn],Aminosäuren pro 100g,Alanin,Arginin,Aspargin,Asparginsäure,Cystein,Glutamin,Glutaminsäure,Glycerin,Histidin,Isoleucin,weitere Aminosäuren,Leucin,Lysin,Methionin,Phenylalanin,Prolin,Serin,Threonin,Tryptophan,Tyrosin,Valin,Compatible with vegetarian,Compatible with vegan,Compatible with pescetarian,Compatible with Paleo,Compatible with lactose intolerance,Compatible with fructose intolerance,Compatible with histamine intolerance,Compatible with gluten intolerance,Compatible with glutamat intolerance,Compatible with saccharose intolerance,Compatible with peanut intolerance,Compatible with almond intolerance,Compatible with haselnut intolerance,Compatible with walnut intolerance,Compatible with cashew intolerance,Compatible with pecan nut intolerance,Compatible with Brazil nut intolerance,Compatible with pistachio intolerance,Compatible with banana intolerance,Compatible with avocade intolerance,Compatible with apple intolerance,Compatible with kiwi fruit intolerance,Compatible with melon intolerance,Compatible with papaya intolerance,Compatible with peach intolerance,Compatible with strawberry intolerance,Is snack,Is fatburner,Price level,Synonym of,Exchangeable with (1:n),Food Category,Shopping List Category,Source
,,,,kcal,kJ,g,g,g,g,g,,g,g,g,g,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,mg,mg,mg,mg,mg,mg,mg,,µg,µg,µg,µg,µg,µg,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Basilikum,Basilikum,,42,177,"3,2","0,8","5,3","3,8","3,2",0,"0,2",0,"0,4",0,0,"0,7","27,6",0,"1,1","0,3","0,1","0,3","0,2",0,0,0,"1,1","0,2",0,243,36,294,11,9,39,17,0,211,5940,69,514,0,735,0,143,130,384,313,33,547,445,89,48,123,0,177,153,37,94,120,86,100,29,59,114,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Basilikum,0,Gewürze & Kräuter,Gewürze & Kräuter,lexolino
12,Birne,Birne,,60,250,"0,4","0,3","12,2","12,2","2,3",0,"0,04","0,05","0,11",0,,"0,375",5,0,"0,5",,"0,03","0,03","0,02",0,,10,"0,2","0,1",,10,2,125,7,2,13,5,,"0,2",,,"0,771","0,126",244,0,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,Birne,0,Obst,Obst,lexolino
13,Blattspinat,Blattspinat,,15,64,"2,5","0,3","0,6","0,2","2,6",0,0,0,"0,2",0,0,"0,8","52,5",0,"1,4","0,3","0,1","0,2","0,2",0,0,"0,1","0,6","0,2",0,134,53,652,56,65,51,20,0,127,4469,117,498,12,613,0,139,135,118,236,29,155,309,117,54,110,0,192,167,43,117,103,104,116,36,93,147,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Blattspinat,0,Gemüse,Gemüse,lexolino
14,Blumenkohl,Blumenkohl,,22,91,"2,4","0,3","2,3",2,"2,6",0,"0,1",0,"0,2",0,0,0,"75,2",0,"0,1","0,2","0,1","0,1","0,2",0,0,0,"0,6","0,9",0,21,30,344,18,16,56,51,0,45,624,13,175,0,209,0,119,122,124,268,28,138,298,79,46,110,0,152,134,114,91,116,137,94,32,49,135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Blumenkohl,0,Gemüse,Gemüse,lexolino
15,Blumenkohl gegart,Blumenkohl gegart,,20,83,"2,5","0,3","1,7","1,5","2,8",0,0,0,"0,1",0,0,0,38,0,"0,1","0,2","0,1","0,1","0,1",0,0,0,"0,4","0,7",0,23,28,256,15,12,55,50,0,38,609,12,165,0,226,0,131,99,210,251,25,268,321,80,47,105,0,165,129,106,80,103,123,86,28,46,137,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Blumenkohl,0,Gemüse,Gemüse,lexolino
16,Bohnen grün,Bohnen grün,,25,103,"2,4","0,2","3,1","0,9","3,2",0,0,0,"0,1",0,0,"0,1",20,0,"0,1",0,"0,1","0,1","0,3",0,0,0,"0,6","0,5",0,57,21,226,27,2,38,18,0,80,888,13,384,3,326,0,104,103,252,287,26,232,264,86,48,103,0,137,137,32,88,98,134,87,30,62,128,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Bohnen,0,Gemüse,Gemüse,lexolino
17,Bohnen grün gegart,grüne Bohnen,,24,101,"2,4","0,2",3,"0,9",3,0,"0,1",0,"0,1",0,0,"0,1","13,2",0,"0,1",0,"0,1","0,1","0,2",0,0,0,"0,4","0,4",0,66,18,187,24,2,36,17,0,87,829,13,379,3,372,0,113,99,231,292,23,202,255,96,56,91,0,154,137,31,91,102,137,93,30,61,138,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Bohnen,0,Gemüse,Gemüse,lexolino
18,Bratwurst,Bratwurst,,286,1198,"13,1","24,9","0,3","0,2",0,0,"9,2","11,4",3,"0,1",0,0,"0,1",0,"0,3",0,"0,5","0,1","0,3",0,0,0,"1,9","0,3",0,11,1061,192,17,728,107,105,0,58,761,36,73,2,1250,0,698,743,387,1125,138,720,2091,660,443,611,0,914,976,329,518,522,530,499,141,452,572,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Bratwurst,Bratwurst grob,Fleisch,Fleisch & Fisch,lexolino
19,Bratwurst grob,Bratwurst grob,,328,1374,"17,7","27,4","0,3","0,2","0,1",0,"9,6","12,5","3,1","0,1",0,0,"0,1",0,"0,3",0,"0,6","0,2","0,4",0,0,0,"2,6","0,5",0,8,936,162,26,700,73,160,0,69,1078,49,106,1,1667,0,913,883,857,1543,212,1446,2603,855,502,755,0,1048,1364,374,658,791,664,658,177,550,879,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Bratwurst,Bratwurst,Fleisch,Fleisch & Fisch,lexolino
20,Broccoli,Broccoli,,24,101,"3,1","0,2","2,4","1,9",3,0,0,0,"0,1",0,0,"0,2",107,0,"0,6","0,1","0,1","0,2","0,2",0,0,"0,1","1,1","1,3",0,109,82,384,24,18,87,126,0,132,1274,11,242,14,629,0,132,181,265,255,32,423,406,94,51,133,0,160,155,42,129,135,114,113,31,68,150,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Broccoli,0,Gemüse,Gemüse,lexolino
