ID,Name,Shopping List Name,Nährwerte pro 100g,Kilokalorien,Kilojoule,Protein,Fett,Kohlenhydrate,davon Zucker,Ballaststoffe,Fettsäuren pro 100g,Gesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Mehrfach ungesättigte Fettsäuren,Cholesterin,Vitamine pro 100g,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Vitamin B1,Vitamin B2,Vitamin B6,Vitamin B12,Biotin,Folsäure,Niacin,Panthotensäure,Mineralstoffe pro 100g,Calcium [Ca],Chlor [Cl],Kalium [K],Magnesium [Mg],Natrium [Na],Phosphor [P],Schwefel [S],Spurenelemente pro 100g,Kupfer [Cu],Eisen [Fe],Fluor [F],Mangan [Mn],Jod [J],Zink [Zn],Aminosäuren pro 100g,Alanin,Arginin,Aspargin,Asparginsäure,Cystein,Glutamin,Glutaminsäure,Glycerin,Histidin,Isoleucin,weitere Aminosäuren,Leucin,Lysin,Methionin,Phenylalanin,Prolin,Serin,Threonin,Tryptophan,Tyrosin,Valin,Compatible with vegetarian,Compatible with vegan,Compatible with pescetarian,Compatible with Paleo,Compatible with lactose intolerance,Compatible with fructose intolerance,Compatible with histamine intolerance,Compatible with gluten intolerance,Compatible with glutamat intolerance,Compatible with saccharose intolerance,Compatible with peanut intolerance,Compatible with almond intolerance,Compatible with haselnut intolerance,Compatible with walnut intolerance,Compatible with cashew intolerance,Compatible with pecan nut intolerance,Compatible with Brazil nut intolerance,Compatible with pistachio intolerance,Compatible with banana intolerance,Compatible with avocade intolerance,Compatible with apple intolerance,Compatible with kiwi fruit intolerance,Compatible with melon intolerance,Compatible with papaya intolerance,Compatible with peach intolerance,Compatible with strawberry intolerance,Is snack,Is fatburner,Price level,Synonym of,Exchangeable with (1:n),Food Category,Shopping List Category,Source,In Live Foods?,Synonyme,Originalname,ValiCheck B
,,,,kcal,kJ,g,g,g,g,g,,g,g,g,g,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,mg,mg,mg,mg,mg,mg,mg,,µg,µg,µg,µg,µg,µg,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Aal,Aal,,286,1196,"17,1","23,2",0,0,0,,"5,5","14,1","2,2","0,2",,"0,8","1,5",0,"8,4",0,"0,2","0,3","0,2",0,0,0,"2,2","0,1",,21,58,204,23,65,244,169,,104,636,38,35,3,1530,,1242,1029,32,1993,187,22,3009,1126,338,742,,1304,1383,476,665,697,687,783,175,654,916,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Aal,,Fisch,Fleisch & Fisch,lexolino,No,,Aal,1
2,Aal geräuchert,Geräucherter Aal ,,305,1276,"15,5","25,9",0,0,0,0,"6,2","16,1","2,3","0,1",0,"0,7","1,3",0,"7,3",0,"0,1","0,3","0,2",0,0,0,"2,1","0,1",0,17,59,167,20,65,207,178,0,92,573,35,27,4,1428,0,1045,789,168,1758,170,231,2409,965,286,635,0,1296,1150,408,627,615,667,719,163,550,889,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Aal,,Fisch,Fleisch & Fisch,lexolino,No,,Geräucherter Aal ,1
3,Aal gesalzen,Aal,,269,1126,"14,8","22,5",0,0,0,0,"5,9","12,8","2,3","0,1",0,"1,1","1,8",0,"7,3",0,"0,2","0,3","0,3",0,0,0,"2,8","0,1",0,53,8879,233,39,5966,251,139,0,113,592,41,53,7,1163,0,875,694,942,1592,135,1155,1951,793,252,530,0,1097,1081,334,471,515,512,542,124,488,669,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Aal,,Fisch,Fleisch & Fisch,lexolino,No,,Aal gesalzen,1
4,Aal Konserve,Aal (aus der Konserve),,281,1177,"14,2",24,0,0,0,0,"5,7","14,4","2,4","0,1",0,"0,4","1,1",0,"4,1",0,"0,1","0,2","0,2",0,0,0,"1,6","0,1",0,20,1312,173,22,885,192,134,0,92,472,30,27,3,1018,0,984,806,8,1656,155,18,2475,908,316,623,0,1183,1061,376,503,586,565,703,157,523,831,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Aal,,Fisch,Fleisch & Fisch,lexolino,No,,Aal (aus der Konserve),1
5,Aal Konserve in Öl,"Aal (aus der Konserve, in Öl)",,250,1048,"15,2","20,2",0,0,0,0,"3,5",8,"7,6","0,1",0,"0,4",1,0,"12,4",0,"0,1","0,2","0,2",0,0,0,"1,7","0,1",0,21,1269,187,20,848,199,132,0,84,525,27,24,4,1132,0,964,764,614,1537,145,851,2128,829,271,591,0,1123,1137,392,502,615,564,657,155,532,829,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Aal,,Fisch,Fleisch & Fisch,lexolino,No,,Aal Konserve in Öl,1
6,Acerola frisch,Acerola,,16,69,"0,2","0,2","3,3","2,7","1,5",0,"0,1",0,"0,1",0,0,0,1785,0,"0,3",0,0,"0,1",0,0,0,0,"0,4","0,3",0,13,11,79,12,3,18,9,0,118,242,17,29,1,371,0,8,7,37,21,1,39,22,7,3,6,0,10,12,2,5,7,8,6,2,4,7,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Acerola,,Obst,Obst & Gemüse,lexolino,No,,Acerola frisch,1
7,Acerola frisch gegart,Acerola,,18,74,"0,2","0,3","3,5","2,4","1,8",0,"0,1",0,"0,1",0,0,0,"951,4",0,"0,3",0,0,"0,1",0,0,0,0,"0,3","0,3",0,12,11,69,12,2,17,11,0,139,241,18,30,1,364,0,9,8,32,19,1,51,30,7,3,6,0,12,12,2,5,7,7,6,2,4,7,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Acerola,,Obst,Obst & Gemüse,lexolino,No,,Acerola frisch gegart,1
8,Acerola Fruchtsaft,Acerolasaft-Fruchtsaft,,20,82,"0,2","0,2","4,2","2,4",0,0,0,0,"0,1",0,0,0,"1078,5",0,"0,3",0,0,"0,1",0,0,0,0,"0,3","0,2",0,11,10,74,13,3,16,9,0,110,243,18,32,1,321,0,8,6,36,19,1,37,20,6,3,6,0,10,10,2,5,6,7,6,2,4,6,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Acerola,,Obst,Obst & Gemüse,lexolino,No,,Acerola Fruchtsaft,1
9,Acerola getrocknet,Acerola (getrocknet),,214,896,"2,6","2,7","43,9","28,7","18,6",0,"0,6","0,5","1,1",0,0,"0,3","1388,6",0,3,"0,1","0,2","0,7","0,1",0,0,0,"3,6","3,1",0,139,118,924,126,32,183,123,0,1378,2563,207,330,12,4099,0,96,86,461,207,11,577,259,79,32,74,0,129,115,23,54,74,86,71,23,43,80,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Acerola,,Obst,Obst & Gemüse,lexolino,No,,Acerola getrocknet,1
10,Acerola Konserve,Acerola (Konserve),,65,271,"0,2","0,2","15,3","1,2","1,3",0,0,0,"0,1",0,0,0,"359,7",0,"0,2",0,0,0,0,0,0,0,"0,2","0,1",0,14,10,49,12,3,14,9,0,130,239,18,27,1,329,0,6,6,28,20,1,23,16,6,3,4,0,10,9,1,4,6,5,4,1,3,6,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,Acerola,,Obst,Obst & Gemüse,lexolino,No,,Acerola Konserve,1
11,Akee,Akee,,223,932,"5,1","19,5","4,9","3,2","2,1",0,"4,4","3,3","8,2",0,0,"0,1","25,5",0,"2,1",0,"0,1","0,1","0,2",0,0,0,"1,5","0,1",0,43,17,372,19,4,15,12,0,84,2862,21,63,1,128,0,223,165,872,455,25,939,490,179,70,141,0,253,243,48,125,189,208,137,54,98,186,1,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Gewürze & Kräuter,Gewürze & Kräuter,lexolino,No,,Akee,1
12,Albacore,Albacore,,185,774,"21,7","10,4",0,0,0,0,"3,3","2,7","3,3","0,1",0,"0,4",5,0,"1,1",0,"0,2","0,2","0,4",0,0,0,"9,1","0,7",0,27,143,316,19,46,202,248,0,85,1010,28,18,53,642,0,1290,1094,568,2389,266,696,2931,966,1096,1038,0,1517,1900,593,702,696,791,907,200,912,1163,0,0,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,Fisch,Fleisch & Fisch,lexolino,No,,Albacore,1
13,Alfalfa,Alfalfa,,32,134,4,"0,7","2,3","0,9","1,8",0,"0,1","0,1","0,4",0,0,0,"7,9",0,"0,1",0,"0,1","0,1",0,0,0,0,"0,5","0,6",0,29,9,78,26,6,74,55,0,163,990,4,184,1,911,0,201,140,518,440,73,395,336,154,58,119,0,220,180,56,166,275,147,141,40,119,182,1,1,1,,1,1,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,Gewürze & Kräuter,Gewürze & Kräuter,lexolino,No,,Alfalfa,1
14,Algen frisch,Algen (frisch),,36,150,"5,6","0,4","2,3","1,6","0,3",0,"0,1",0,"0,1",0,0,"0,1",1,0,0,"0,3","0,2","0,3",0,0,0,"0,1","1,2","0,4",0,70,12,127,101,104,10,46,0,196,2093,98,510,50,1188,0,301,250,426,602,62,652,920,162,93,253,0,326,298,67,166,243,177,193,60,117,238,1,1,1,,1,1,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,Gewürze & Kräuter,Gewürze & Kräuter,lexolino,No,,Algen frisch,1
15,Amsterdamer Rahmstufe,Amsterdamer Rahmstufe,,362,1513,"22,3","29,1",0,0,0,0,"17,3","9,2","1,1","0,1",0,"0,3",0,0,"0,5",0,0,"0,2","0,1",0,0,0,"0,1","0,8",0,811,1050,70,41,898,541,200,0,92,104,105,38,31,4080,0,652,729,28,1312,85,39,5143,350,591,1220,0,2227,1725,513,1127,2582,1208,1028,323,1150,1579,1,0,1,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,Käse & Käsezubereitungen,Milchprodukte,lexolino,No,,Amsterdamer Rahmstufe,1
16,Ananas,Ananas,,54,224,"0,5","0,2","12,3","4,4","1,3",0,0,0,"0,1",0,0,0,"19,2",0,"0,1",0,"0,1",0,"0,1",0,0,0,"0,2","0,2",0,16,39,168,16,2,10,3,0,79,420,14,112,1,247,0,19,21,52,68,2,42,56,21,10,15,0,22,29,14,14,15,32,14,7,14,21,1,1,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,Obst,Obst & Gemüse,lexolino,No,,Ananas,1
17,Ananas Fruchtsaft,Ananas-Fruchtsaft,,58,243,"0,4","0,1","13,6","4,2",0,0,0,0,"0,1",0,0,0,"12,5",0,"0,1",0,"0,1",0,"0,1",0,0,0,"0,2","0,1",0,15,40,159,17,2,9,3,0,76,397,14,113,1,272,0,21,20,38,52,2,35,49,18,10,14,0,19,29,12,12,15,28,12,6,12,16,1,1,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,Getränke,Getränke & Sonstiges,lexolino,No,,Ananas Fruchtsaft,1
18,Ananas gegart,Ananas,,55,231,"0,5","0,2","12,8","5,5","1,5",0,0,0,"0,1",0,0,0,"10,7",0,"0,1",0,"0,1",0,"0,1",0,0,0,"0,2","0,1",0,19,41,155,17,2,10,3,0,81,376,15,124,1,306,0,21,20,36,63,2,30,54,23,12,17,0,24,30,14,14,15,30,14,6,14,18,1,1,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,Obst,Obst & Gemüse,lexolino,No,,Ananas gegart,1
19,Anchovis,Anchovis,,342,1432,"13,8","30,7",0,0,0,0,5,"10,6","13,2","0,1",0,0,"0,6",0,"13,5",0,0,"0,2","0,2",0,0,0,"3,2","0,9",0,72,4744,330,40,2868,227,195,0,285,940,331,31,24,938,0,1090,838,21,1486,150,31,1673,866,381,728,0,1083,1365,440,583,556,601,591,150,546,825,0,0,1,,1,1,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,Fisch,Fleisch & Fisch,lexolino,No,,Anchovis,1
20,Anis,Anis,,378,1581,19,"16,2","36,8","30,3","14,7",0,"0,9","12,5","1,5",0,0,0,0,0,0,0,"0,3","0,2","0,2",0,0,0,"0,9","0,5",0,702,61,1382,168,17,475,94,0,956,38110,48,2093,5,4823,0,1077,816,2531,2878,172,2058,2341,683,246,554,0,827,915,277,634,604,732,466,190,352,655,1,1,1,,1,1,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,Gewürze & Kräuter,Gewürze & Kräuter,lexolino,No,,Anis,1
21,Apfel,Apfel,,50,208,"0,3","0,4",11,"7,2","1,9",,"0,1",0,"0,2",0,,0,"11,3",0,"0,5",0,0,0,"0,1",0,0,0,"0,2","0,1",,-,-,-,-,-,-,-,,-,-,-,-,-,-,,15,7,54,108,1,12,25,8,6,11,,17,16,3,9,10,12,7,2,5,12,1,1,1,1,1,0,"0,5",1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,2,Apfel,112,Obst,Obst & Gemüse,lexolino,Yes,,Apfel,1
22,Apfelsaft,Apfelsaft,,46,191,"0,3","0,3","10,2","6,6",0,0,"0,1",0,"0,2",0,0,0,"7,4",0,"0,5",0,0,0,0,0,0,0,"0,2","0,1",0,7,2,125,6,3,11,6,0,96,494,7,65,2,122,0,15,7,63,90,1,15,22,9,6,10,0,16,13,3,9,9,11,7,2,5,11,1,1,1,,1,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,Getränke,Getränke & Sonstiges,lexolino,No,,Apfel Fruchtsaft,1
23,Apfel gegart,Apfel gegart,,52,217,"0,4","0,4","11,5","8,9","2,3",0,"0,1",0,"0,2",0,0,0,"7,1",0,"0,6",0,0,0,0,0,0,0,"0,2","0,1",0,8,2,121,7,2,11,7,0,103,490,8,66,2,125,0,15,8,73,103,1,18,26,9,6,9,0,18,15,3,9,9,14,8,2,5,12,1,1,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,Obst,Obst & Gemüse,lexolino,No,,Apfel gegart,1
24,Apfel geschält,Apfel geschält,,58,242,"0,3","0,4",13,"8,4","1,7",0,"0,1",0,"0,2",0,0,0,"4,2",0,"0,3",0,0,0,"0,1",0,0,0,"0,1",0,0,3,2,157,6,3,11,6,0,96,432,10,62,2,122,0,14,6,34,89,1,9,24,8,5,8,0,13,13,3,9,10,11,6,2,5,12,1,1,1,,1,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,Obst,Obst & Gemüse,lexolino,No,,Apfel geschält,1
25,Apfel konserve,Apfel (aus Konserve),,88,368,"0,3","0,3","20,6",4,"1,8",0,"0,1",0,"0,2",0,0,0,"2,6",0,"0,5",0,0,0,0,0,0,0,"0,1",0,0,9,3,90,6,3,9,6,0,109,391,10,57,3,173,0,12,6,35,73,2,11,22,8,5,10,0,13,13,3,8,9,11,6,2,5,12,1,1,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,Obst,Obst & Gemüse,lexolino,No,,Apfel konserve,1
26,Apfel-Chutney,Apfel-Chutney,,142,596,"0,7","0,2","33,8","6,2","1,3",0,"0,1",0,"0,1",0,0,0,"4,8",0,"0,2","0,1",0,0,0,0,0,0,"0,2","0,1",0,16,191,141,11,119,27,18,0,64,588,18,171,1,143,0,23,66,99,56,7,139,78,21,11,15,0,20,25,5,17,32,20,18,6,11,17,1,1,1,,1,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,Süßspeisen,Getränke & Sonstiges,lexolino,No,,Apfel-Chutney,1
27,Apfelessig,Apfelessig,,4,17,"0,4",0,"0,6","0,6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,47,108,22,1,9,21,0,37,606,19,258,1,186,0,8,19,24,7,4,153,45,6,3,6,0,4,8,1,4,27,10,26,1,2,8,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,2,Apfelessig,"401,2098,1507,1315,2061,2525,2091",Fette & Speiseöle,Getränke & Sonstiges,lexolino,No,,Apfelessig,1
28,Apfelsine,Apfelsine,,45,189,"0,9","0,2","9,7","5,1","2,2",0,0,"0,1","0,1",0,0,0,"54,5",0,"0,2",0,"0,1",0,0,0,0,0,"0,3","0,3",0,39,4,182,14,1,25,8,0,71,424,5,31,2,93,0,55,68,74,110,11,66,97,92,18,29,0,25,51,22,35,45,36,17,11,17,41,1,1,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,Obst,Obst & Gemüse,lexolino,No,,Apfelsine,1
29,Apfelstrudel,Apfelstrudel,,155,650,2,"5,5","23,7","8,8","2,7",0,"1,2","2,7","1,3",0,0,0,"1,9",0,"1,6",0,0,0,"0,1",0,0,0,"0,3",0,0,15,47,174,14,29,33,25,0,129,685,21,180,2,332,0,77,122,36,186,40,12,565,89,42,74,0,151,56,30,92,214,110,63,18,54,98,1,1,1,,1,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,Süßspeisen,Getränke & Sonstiges,lexolino,No,,Apfelstrudel,1
30,Apfelwaffel,Apfelwaffel,,489,2048,"7,7","33,4","36,3","3,5","3,1",0,"8,3","15,6","7,3","0,1",0,"0,3","1,4",0,"7,3",0,"0,1","0,1","0,1",0,0,0,"0,6","0,5",0,54,128,198,38,152,185,100,0,225,1774,63,389,5,1103,0,364,500,13,686,189,9,1972,283,169,429,0,673,334,168,483,572,487,307,98,295,504,1,1,1,,0,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,Süßspeisen,Getränke & Sonstiges,lexolino,No,,Apfelwaffel,1
31,Apfelwein,Apfelwein,,32,134,0,0,"7,9","7,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,90,4,2,10,5,0,21,285,20,218,10,238,0,0,0,21,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,Getränke,Getränke & Sonstiges,lexolino,No,,Apfelwein,1
32,Appenzeller Rahmstufe,Appenzeller Rahmstufe,,412,1726,"23,9","33,8",0,0,0,0,"20,5","10,4","1,2","0,1",0,"0,4",0,0,"0,9",0,0,"0,4","0,1",0,0,0,"0,1","0,4",0,752,920,108,33,654,510,198,0,120,276,146,48,34,4120,0,652,863,21,1493,123,17,5116,400,693,1340,0,2510,1839,578,1133,2682,1321,958,304,1110,1632,1,0,1,,"0,5",,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,Käse & Käsezubereitungen,Milchprodukte,lexolino,No,,Appenzeller Rahmstufe,1
33,Apricot-Brandy,Apricot-Brandy,,123,515,0,0,"30,3","29,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,1,3,2,0,33,0,0,0,0,0,0,0,0,42,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,Getränke,Getränke & Sonstiges,lexolino,No,,Apricot-Brandy,1
34,Aprikose,Aprikose,,40,168,"0,8","0,1","8,8","2,4","1,7",0,0,0,0,0,0,"0,3","8,6",0,"0,5",0,0,"0,1","0,1",0,0,0,"0,7","0,3",0,16,1,294,11,2,21,6,0,127,702,10,273,1,131,0,45,31,15,202,2,8,100,28,19,28,0,48,59,4,35,66,56,33,11,18,29,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,Obst,Obst & Gemüse,lexolino,No,,Aprikose,1
35,Aprikose Fruchtsaft,Aprikosensaft,,43,179,"0,9","0,1","9,5","2,5",0,0,0,0,0,0,0,"0,3","5,9",0,"0,5",0,0,0,"0,1",0,0,0,"0,6","0,2",0,17,1,264,11,2,23,6,0,129,664,9,282,1,148,0,39,28,83,175,2,45,96,25,15,26,0,45,56,4,29,63,46,31,10,18,28,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,Getränke,Getränke & Sonstiges,lexolino,No,,Aprikose Fruchtsaft,1
36,Aprikose gegart,Aprikose,,42,176,1,"0,1","9,1","2,8","2,2",0,0,0,0,0,0,"0,3",5,0,"0,5",0,0,0,"0,1",0,0,0,"0,6","0,2",0,20,1,242,12,2,21,7,0,150,605,12,277,1,144,0,50,30,108,209,2,57,111,27,19,26,0,57,66,4,35,70,50,33,9,21,33,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,Obst,Obst & Gemüse,lexolino,No,,Aprikose gegart,1
37,Aprikose getrocknet,Aprikose (getrocknet),,215,900,"5,6","0,6","45,9","15,7","10,8",0,0,"0,3","0,1",0,0,"1,6","46,4",0,"2,9","0,1","0,2","0,2","0,3",0,0,0,"3,3","1,5",0,107,6,1621,60,11,129,33,0,760,3533,58,1563,6,887,0,281,173,558,1254,13,277,621,166,99,152,0,304,344,24,207,353,300,172,63,106,170,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,Obst,Obst & Gemüse,lexolino,No,,Aprikose getrocknet,1
38,Aprikose kandiert,Aprikose,,280,1170,"0,4",0,"68,3","21,3","0,6",0,0,0,0,0,0,"0,1","2,9",0,"0,2",0,0,0,0,0,0,0,"0,3","0,1",0,14,12,165,6,62,13,15,0,80,741,24,132,0,54,0,21,12,55,85,1,28,43,11,7,11,0,20,26,2,15,24,20,14,4,9,13,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,Obst,Obst & Gemüse,lexolino,No,,Aprikose kandiert,1
39,Aprikosen-Krapfen,Aprikosen-Krapfen,,96,400,"3,4","1,5","16,8","2,3","1,9",0,"0,4","0,5","0,2",0,0,"0,3",4,0,"0,7",0,0,"0,1","0,1",0,0,0,"0,7","0,3",0,27,218,243,11,135,53,35,0,150,960,24,263,2,419,0,138,145,46,312,58,106,714,116,66,140,0,259,151,63,177,235,208,129,35,107,174,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,Süßspeisen,Getränke & Sonstiges,lexolino,No,,Aprikosen-Krapfen,1
40,Aprikosenkern,Aprikosenkern,,624,2609,"23,5","50,8","13,4",0,"0,8",0,"4,2","28,1","16,4",0,0,0,"4,9",0,"4,4",0,"0,8","0,2","0,1",0,0,0,"3,8","0,5",0,26,20,623,234,4,533,144,0,985,9660,53,273,2,4335,0,1080,3675,41,2274,378,29,4165,1337,541,990,0,1782,1046,540,1313,1066,1170,945,347,848,1608,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,Nüsse & Samen,,lexolino,No,,Aprikosenkern,1
41,Arrak,Arrak,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,63,124,0,16,0,64,0,0,0,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,Getränke,Getränke & Sonstiges,lexolino,No,,Arrak,1
42,Artischocke,Artischocke,,20,85,"2,3","0,1","2,4","2,1","11,2",0,0,0,"0,1",0,0,0,"8,5",0,"0,2",0,"0,1",0,"0,1",0,0,0,1,"0,3",0,52,38,326,24,43,138,15,0,333,1635,49,414,4,62,0,119,89,191,233,23,299,364,62,36,99,0,153,131,28,68,90,78,83,24,45,89,1,1,1,1,1,1,"0,5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Artischocke,,Gemüse,Obst & Gemüse,lexolino,No,,Artischocke,1
43,Artischockex,Artischocke,,19,81,"2,3","0,1","2,2","1,7","11,5",0,0,0,"0,1",0,0,0,4,0,"0,2","0,1","0,1",0,"0,1",0,0,0,"0,6","0,2",0,53,40,195,20,37,121,16,0,325,1342,55,366,4,49,0,124,95,183,219,23,293,350,64,36,99,0,132,131,30,78,99,73,81,26,51,101,1,1,1,,1,,"0,5",,,,,,,,,,,,,,,,,,,,,,,Artischocke,,Gemüse,Obst & Gemüse,lexolino,No,,Artischocke gegart,1
44,Artischocken (aus Konserve),Artischocken (aus Konserve),,19,80,"2,3","0,1","2,2","1,6","9,9",0,0,0,"0,1",0,0,0,"1,9",0,"0,2",0,"0,1",0,0,0,0,0,"0,5","0,2",0,48,504,217,21,255,105,12,0,304,1098,43,342,4,84,0,108,81,263,241,25,334,307,66,36,93,0,126,102,26,69,97,65,75,22,43,93,1,1,1,,1,,0,,,,,,,,,,,,,,,,,,,,,,,Artischocke,,Gemüse,Obst & Gemüse,lexolino,No,,Artischocken Konserve,1
45,Artischockenboden,Artischockenboden,,20,84,"2,2","0,1","2,4",2,"11,8",0,0,0,"0,1",0,0,0,"7,4",0,"0,2",0,"0,1",0,"0,1",0,0,0,"0,9","0,3",0,58,43,326,25,46,120,16,0,349,1485,51,410,4,56,0,126,105,162,242,23,219,328,70,39,94,0,151,126,28,73,87,77,80,24,49,105,1,1,1,,1,,"0,5",,,,,,,,,,,,,,,,,,,,,,,Artischocke,,Gemüse,Obst & Gemüse,lexolino,No,,Artischockenboden,1
46,Aspikaufguss rot,Aspikaufguss rot,,39,165,"8,3","0,2","0,9","0,8",0,0,"0,1","0,1",0,0,0,0,"0,6",0,"0,1",0,0,0,0,0,0,0,1,"0,1",0,9,567,70,7,425,37,36,0,41,528,19,73,5,648,0,612,515,340,571,32,553,927,1429,129,230,0,356,466,111,229,851,291,199,35,92,284,0,0,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,Fleisch,Fleisch & Fisch,lexolino,No,,Aspikaufguss rot,1
47,Aspikaufguss weiß,Aspikaufguss weiß,,33,136,"7,4","0,2","0,1",0,0,0,"0,1","0,1",0,0,0,0,0,0,"0,1",0,0,0,0,0,0,0,"0,9","0,1",0,8,663,74,9,413,29,36,0,50,492,26,55,5,681,0,632,570,32,586,29,8,947,1473,131,230,0,353,420,96,218,884,279,212,34,99,270,0,0,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,Fleisch,Fleisch & Fisch,lexolino,No,,Aspikaufguss weiß,1
48,Aspikpulver,Aspikpulver,,329,1377,81,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,95,20,11,53,0,109,0,49,95,32,42,5,200,0,8022,6414,498,4880,0,894,8773,21607,476,1241,0,2245,3603,556,1553,13293,3129,1540,91,78,2131,0,0,0,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,Fleisch,Fleisch & Fisch,lexolino,No,,Aspikpulver,1
49,Aubergine,Aubergine,,17,73,"1,2","0,2","2,7",2,"2,9",,0,0,"0,1",0,,0,"5,1",0,0,0,0,0,"0,1",0,0,0,"0,6","0,2",,12,57,220,11,3,22,30,,96,395,21,188,0,294,,57,61,33,195,6,34,204,49,26,53,,73,50,11,55,54,49,45,11,42,58,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,Aubergine,,Gemüse,Obst & Gemüse,lexolino,Yes,,Aubergine,1
