ID,Name,Shopping List Name,Nährwerte pro 100g,Kilokalorien,Kilojoule,Protein,Fett,Kohlenhydrate,davon Zucker,Ballaststoffe,Fettsäuren pro 100g,Gesättigte Fettsäuren,Einfach ungesättigte Fettsäuren,Mehrfach ungesättigte Fettsäuren,Cholesterin,Vitamine pro 100g,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Vitamin B1,Vitamin B2,Vitamin B6,Vitamin B12,Biotin,Folsäure,Niacin,Panthotensäure,Mineralstoffe pro 100g,Calcium [Ca],Chlor [Cl],Kalium [K],Magnesium [Mg],Natrium [Na],Phosphor [P],Schwefel [S],Spurenelemente pro 100g,Kupfer [Cu],Eisen [Fe],Fluor [F],Mangan [Mn],Jod [J],Zink [Zn],Aminosäuren pro 100g,Alanin,Arginin,Aspargin,Asparginsäure,Cystein,Glutamin,Glutaminsäure,Glycerin,Histidin,Isoleucin,weitere Aminosäuren,Leucin,Lysin,Methionin,Phenylalanin,Prolin,Serin,Threonin,Tryptophan,Tyrosin,Valin,Compatible with vegetarian,Compatible with vegan,Compatible with pescetarian,Compatible with Paleo,Compatible with lactose intolerance,Compatible with fructose intolerance,Compatible with histamine intolerance,Compatible with gluten intolerance,Compatible with glutamat intolerance,Compatible with saccharose intolerance,Compatible with peanut intolerance,Compatible with almond intolerance,Compatible with haselnut intolerance,Compatible with walnut intolerance,Compatible with cashew intolerance,Compatible with pecan nut intolerance,Compatible with Brazil nut intolerance,Compatible with pistachio intolerance,Compatible with banana intolerance,Compatible with avocade intolerance,Compatible with apple intolerance,Compatible with kiwi fruit intolerance,Compatible with melon intolerance,Compatible with papaya intolerance,Compatible with peach intolerance,Compatible with strawberry intolerance,Is snack,Is fatburner,Price level,Synonym of,Exchangeable with (1:n),Food Category,Shopping List Category,Source,In Live Foods?,Synonyme,Originalname,ValiCheck B
,,,,kcal,kJ,g,g,g,g,g,,g,g,g,g,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,mg,mg,mg,mg,mg,mg,mg,,µg,µg,µg,µg,µg,µg,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,Matjeshering (geräuchert),Matjeshering (geräuchert),,316,1320,"20,7","24,8",0,0,0,0,"4,5","12,9","4,8","0,1",0,0,"0,2",0,"2,3",0,0,"0,2","0,2",0,0,0,"2,6","0,7",0,49,166,322,33,127,202,240,0,467,1228,393,20,56,941,0,1437,1041,1051,1864,190,1354,2402,1119,513,904,0,1644,1732,596,814,719,700,772,205,633,1046,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,Matjes,,Fisch,Fleisch & Fisch,lexolino,No,,Matjeshering geräuchert,1
1194,Matjeshering (gesalzen),Matjeshering (gesalzen),,291,1217,"17,7","23,5",0,0,0,0,"4,4","12,6","4,2","0,1",0,"0,1","0,4",0,"2,5",0,0,"0,2","0,3",0,0,0,4,1,0,64,3783,468,45,2854,248,229,0,471,1307,352,37,62,933,0,1284,1005,336,1766,182,399,2094,902,447,849,0,1485,1619,497,786,606,728,806,189,675,1001,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,Matjes,,Fisch,Fleisch & Fisch,lexolino,No,,Matjeshering gesalzen,1
1195,Matjeshering (Konserve),Matjeshering (Konserve),,278,1162,"16,9","22,4",0,0,0,0,"4,3","11,5","4,4","0,1",0,0,"0,2",0,"1,2",0,0,"0,1","0,2",0,0,0,"2,3","0,5",0,47,1419,298,33,959,185,176,0,412,1105,277,22,45,807,0,1407,1073,37,1830,180,4,2243,928,474,942,0,1364,1486,531,718,629,653,773,166,648,1076,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,Matjes,,Fisch,Fleisch & Fisch,lexolino,No,,Matjeshering Konserve,1
1196,Matjeshering (Konserve in Öl),Matjeshering (Konserve in Öl),,239,1002,"16,5","18,5",0,0,0,0,"3,1","6,4","7,3","0,1",0,0,"0,2",0,"8,7",0,0,"0,1","0,2",0,0,0,2,"0,5",0,43,1303,309,33,893,176,194,0,359,1233,310,21,52,841,0,1289,1101,16,1915,174,34,2417,898,516,800,0,1462,1711,488,724,627,774,705,166,578,1044,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,Matjes,,Fisch,Fleisch & Fisch,lexolino,No,,Matjeshering Konserve in Öl,1
1197,Maulbeere,Maulbeere,,36,152,"1,4",0,"7,6",8,"1,6",0,0,0,0,0,0,0,"10,2",0,"0,5",0,0,0,"0,1",0,0,0,"0,4","0,2",0,35,4,237,15,2,50,9,0,61,1696,21,873,1,194,0,56,74,184,183,12,188,187,48,30,25,0,54,32,21,41,45,47,41,13,27,44,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Maulbeere,1
1198,Maulbeerensaft,Maulbeerensaft,,40,167,"1,3",0,"8,6","7,1",0,0,0,0,0,0,0,0,"6,6",0,"0,5",0,0,0,0,0,0,0,"0,3","0,2",0,35,4,220,15,2,50,9,0,58,1573,21,910,1,204,0,58,61,173,157,11,187,169,46,29,26,0,50,32,19,33,46,43,35,11,26,42,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,Getränke,Getränke & Sonstiges,lexolino,No,,Maulbeere Fruchtsaft,1
1199,Maulbeere Konserve,Maulbeere,,79,329,1,0,"18,4","4,1","1,4",0,0,0,0,0,0,0,"2,3",0,"0,5",0,0,0,0,0,0,0,"0,2","0,1",0,37,5,150,14,2,40,8,0,79,1160,20,734,1,243,0,49,58,71,153,10,79,170,44,28,20,0,49,27,16,34,33,46,31,11,22,38,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Maulbeere Konserve,1
1201,Meerforelle,Meerforelle,,117,490,21,"3,4",0,0,0,0,"0,9",1,"1,1","0,1",0,0,"1,1",0,"0,6",0,"0,1","0,1","0,6",0,0,0,"3,3","1,8",0,16,60,348,31,62,235,216,0,163,686,28,42,10,1030,0,1331,1104,1031,2038,212,1322,2613,834,536,931,0,1420,1895,484,828,707,920,972,186,640,996,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,Forelle,,Fisch,Fleisch & Fisch,lexolino,No,,Meerforelle,1
1202,Meerforelle (geräuchert),Meerforelle (geräuchert),,115,482,"19,7","3,8",0,0,0,0,1,"1,1","1,2","0,1",0,0,"0,8",0,"0,6",0,"0,1","0,1","0,6",0,0,0,"2,6","1,6",0,19,63,274,33,57,248,232,0,171,670,33,43,11,1148,0,1464,1195,11,1889,220,31,3250,920,590,1109,0,1570,1891,601,733,821,985,982,193,685,1078,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,Forelle,,Fisch,Fleisch & Fisch,lexolino,No,,Meerforelle geräuchert,1
1203,Meerforelle (gesalzen),Meerforelle (gesalzen),,120,501,"20,6","3,9",0,0,0,0,1,"1,2","1,2","0,1",0,0,"1,3",0,"0,7",0,"0,1","0,2","0,8",0,0,0,4,"2,2",0,38,5067,371,48,3200,308,256,0,214,787,34,60,12,1206,0,1292,1151,822,1823,190,1241,2754,825,535,874,0,1606,1731,519,699,821,920,953,196,667,974,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,Forelle,,Fisch,Fleisch & Fisch,lexolino,No,,Meerforelle gesalzen,1
1204,Meerforelle (Konserve),Meerforelle (Konserve),,121,507,"21,1","3,8",0,0,0,0,"0,9","1,2","1,3","0,1",0,0,"0,7",0,"0,3",0,"0,1","0,1","0,4",0,0,0,2,"1,1",0,20,1254,278,30,914,220,169,0,149,592,26,35,10,930,0,1186,1088,996,2048,199,1361,2799,831,559,889,0,1553,1741,549,734,779,935,914,193,697,1045,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,Forelle,,Fisch,Fleisch & Fisch,lexolino,No,,Meerforelle Konserve,1
1205,Meerrettich,Meerrettich,,62,260,"2,9","0,3","11,7","3,7","7,1",0,0,0,"0,2",0,0,0,"116,3",0,"0,1",0,"0,1","0,1","0,2",0,0,0,"0,6","0,2",0,102,18,571,34,10,67,193,0,130,1442,35,501,1,1498,0,197,143,168,258,41,193,296,165,58,133,0,246,168,33,142,141,116,109,40,105,188,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Meerrettich,1
1206,Meerrettich (gegart),Meerrettich (gegart),,48,199,"2,7","0,3","8,3","2,8",8,0,0,0,"0,2",0,0,0,"71,8",0,"0,1","0,1","0,1","0,1","0,1",0,0,0,"0,5","0,2",0,116,15,288,21,4,61,224,0,141,1405,33,439,1,1205,0,186,154,89,279,39,94,294,146,58,135,0,215,154,33,131,130,122,123,41,96,181,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,lexolino,No,,Meerrettich frisch gegart,1
1207,Meersalz,Meersalz,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,55800,54,37,34580,1,21,0,132,3090,437,192,2120,70,0,0,0,13,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,Meersalz,,Gewürze & Kräuter,Gewürze & Kräuter,lexolino,No,,Meersalz,1
